,driver,track,year,avg_grid_pos_track,track_avg_lap_time,temperature,rain,target_time,years_since_reg_change
0,NOR,Monza,2025,7.4,81.451,44.6,Dry,78.869,3
1,LEC,Monza,2025,6.33,81.451,44.6,Dry,79.007,3
2,PIA,Monza,2025,7.0,81.451,44.6,Dry,78.982,3
3,VER,Monza,2025,8.78,81.451,44.6,Dry,78.792,3
4,RUS,Monza,2025,10.6,81.451,44.6,Dry,79.157,3
5,BOR,Monza,2025,17.0,81.451,44.6,Dry,79.323,3
6,HAM,Monza,2025,4.65,81.451,44.6,Dry,79.124,3
7,HAD,Monza,2025,17.0,81.451,44.6,Dry,79.917,3
8,ANT,Monza,2025,17.0,81.451,44.6,Dry,79.2,3
9,ALB,Monza,2025,7.67,81.451,44.6,Dry,79.583,3
10,HUL,Monza,2025,11.9,81.451,44.6,Dry,79.498,3
11,ALO,Monza,2025,9.35,81.451,44.6,Dry,79.362,3
12,SAI,Monza,2025,9.89,81.451,44.6,Dry,79.528,3
13,COL,Monza,2025,17.0,81.451,44.6,Dry,79.992,3
14,TSU,Monza,2025,15.33,81.451,44.6,Dry,79.433,3
15,LAW,Monza,2025,10.5,81.451,44.6,Dry,80.279,3
16,BEA,Monza,2025,10.5,81.451,44.6,Dry,79.446,3
17,GAS,Monza,2025,13.0,81.451,44.6,Dry,80.103,3
18,STR,Monza,2025,10.0,81.451,44.6,Dry,79.948,3
19,OCO,Monza,2025,12.71,81.451,44.6,Dry,79.707,3
