,driver,track,year,avg_grid_pos_track,track_avg_lap_time,temperature,rain,target_time,years_since_reg_change
0,VER,Bahrain,2025,5.64,90.021,22.2,False,88.779,3
1,LEC,Bahrain,2025,5.75,90.021,22.2,False,88.38499999999999,3
2,RUS,Bahrain,2025,9.71,90.021,22.2,False,88.775,3
3,SAI,Bahrain,2025,8.64,90.021,22.2,False,88.757,3
4,PER,Bahrain,2025,9.21,90.021,22.2,False,89.137,3
5,ALO,Bahrain,2025,8.0,90.021,22.2,False,89.242,3
6,NOR,Bahrain,2025,10.71,90.021,22.2,False,88.934,3
7,PIA,Bahrain,2025,13.0,90.021,22.2,False,89.113,3
8,HAM,Bahrain,2025,3.94,90.021,22.2,False,88.78,3
9,HUL,Bahrain,2025,11.25,90.021,22.2,False,89.361,3
10,TSU,Bahrain,2025,13.5,90.021,22.2,False,89.18900000000001,3
11,STR,Bahrain,2025,13.56,90.021,22.2,False,89.44500000000001,3
12,ALB,Bahrain,2025,11.67,90.021,22.2,False,89.411,3
13,RIC,Bahrain,2025,8.69,90.021,22.2,False,89.31800000000001,3
14,MAG,Bahrain,2025,13.4,90.021,22.2,False,90.059,3
15,BOT,Bahrain,2025,5.92,90.021,22.2,False,90.106,3
16,ZHO,Bahrain,2025,15.0,90.021,22.2,False,90.137,3
17,SAR,Bahrain,2025,17.6,90.021,22.2,False,89.83,3
18,OCO,Bahrain,2025,11.88,90.021,22.2,False,90.233,3
19,GAS,Bahrain,2025,11.25,90.021,22.2,False,90.32799999999999,3
20,VER,Jeddah,2025,5.75,88.584,31.9,False,86.852,3
21,LEC,Jeddah,2025,5.0,88.584,31.9,False,87.351,3
22,PER,Jeddah,2025,2.5,88.584,31.9,False,86.867,3
23,ALO,Jeddah,2025,6.5,88.584,31.9,False,87.426,3
24,PIA,Jeddah,2025,6.5,88.584,31.9,False,87.339,3
25,NOR,Jeddah,2025,10.75,88.584,31.9,False,87.72200000000001,3
26,RUS,Jeddah,2025,7.5,88.584,31.9,False,87.85600000000001,3
27,HAM,Jeddah,2025,7.75,88.584,31.9,False,88.13000000000001,3
28,TSU,Jeddah,2025,13.0,88.584,31.9,False,88.087,3
29,STR,Jeddah,2025,11.5,88.584,31.9,False,87.5,3
