,driver,track,year,avg_grid_pos_track,track_avg_lap_time,temperature,rain,target_time
0,VER,Bahrain,2023,5.64,90.021,29.8,False,89.708
1,PER,Bahrain,2023,9.21,90.021,29.8,False,89.846
2,LEC,Bahrain,2023,5.75,90.021,29.8,False,90.0
3,SAI,Bahrain,2023,8.64,90.021,29.8,False,90.154
4,ALO,Bahrain,2023,8.0,90.021,29.8,False,90.336
5,RUS,Bahrain,2023,9.71,90.021,29.8,False,90.34
6,HAM,Bahrain,2023,3.94,90.021,29.8,False,90.384
7,STR,Bahrain,2023,13.56,90.021,29.8,False,90.836
8,OCO,Bahrain,2023,11.88,90.021,29.8,False,90.914
9,HUL,Bahrain,2023,11.25,90.021,29.8,False,90.809
10,NOR,Bahrain,2023,10.71,90.021,29.8,False,91.381
11,BOT,Bahrain,2023,5.92,90.021,29.8,False,91.443
12,ZHO,Bahrain,2023,15.0,90.021,29.8,False,91.473
13,TSU,Bahrain,2023,13.5,90.021,29.8,False,91.4
14,ALB,Bahrain,2023,11.67,90.021,29.8,False,91.461
15,SAR,Bahrain,2023,17.6,90.021,29.8,False,91.652
16,MAG,Bahrain,2023,13.4,90.021,29.8,False,91.892
17,PIA,Bahrain,2023,13.0,90.021,29.8,False,92.101
18,GAS,Bahrain,2023,11.25,90.021,29.8,False,92.181
19,PER,Jeddah,2023,2.5,88.584,32.4,False,88.265
20,LEC,Jeddah,2023,5.0,88.584,32.4,False,88.42
21,ALO,Jeddah,2023,6.5,88.584,32.4,False,88.73
22,RUS,Jeddah,2023,7.5,88.584,32.4,False,88.857
23,SAI,Jeddah,2023,7.33,88.584,32.4,False,88.931
24,STR,Jeddah,2023,11.5,88.584,32.4,False,88.945
25,OCO,Jeddah,2023,9.25,88.584,32.4,False,89.078
26,HAM,Jeddah,2023,7.75,88.584,32.4,False,89.223
27,PIA,Jeddah,2023,6.5,88.584,32.4,False,89.243
28,GAS,Jeddah,2023,10.5,88.584,32.4,False,89.357
29,HUL,Jeddah,2023,14.0,88.584,32.4,False,89.451
30,ZHO,Jeddah,2023,14.33,88.584,32.4,False,89.461
31,MAG,Jeddah,2023,12.0,88.584,32.4,False,89.634
32,BOT,Jeddah,2023,10.0,88.584,32.4,False,89.668
33,VER,Jeddah,2023,5.75,88.584,32.4,False,88.761
34,TSU,Jeddah,2023,13.0,88.584,32.4,False,89.939
35,ALB,Jeddah,2023,15.0,88.584,32.4,False,89.994
36,NOR,Jeddah,2023,10.75,88.584,32.4,False,90.447
37,SAR,Jeddah,2023,19.5,88.584,32.4,False,128.51
38,VER,Australia,2023,4.13,77.014,20.9,True,76.732
39,RUS,Australia,2023,8.5,77.014,20.9,True,76.968
40,HAM,Australia,2023,4.06,77.014,20.9,True,77.104
41,ALO,Australia,2023,8.42,77.014,20.9,True,77.139
42,SAI,Australia,2023,8.13,77.014,20.9,True,77.27
43,STR,Australia,2023,13.83,77.014,20.9,True,77.30799999999999
44,LEC,Australia,2023,7.0,77.014,20.9,True,77.369
45,ALB,Australia,2023,13.25,77.014,20.9,True,77.60900000000001
46,GAS,Australia,2023,14.8,77.014,20.9,True,77.574
47,HUL,Australia,2023,10.91,77.014,20.9,True,77.412
48,OCO,Australia,2023,12.2,77.014,20.9,True,77.768
49,TSU,Australia,2023,11.0,77.014,20.9,True,78.099
50,NOR,Australia,2023,7.0,77.014,20.9,True,78.119
51,MAG,Australia,2023,12.0,77.014,20.9,True,78.129
52,PIA,Australia,2023,10.5,77.014,20.9,True,78.517
53,ZHO,Australia,2023,16.67,77.014,20.9,True,78.53999999999999
54,SAR,Australia,2023,18.0,77.014,20.9,True,78.557
55,BOT,Australia,2023,12.33,77.014,20.9,True,78.714
57,LEC,Baku,2023,4.8,102.465,39.7,False,100.203
58,VER,Baku,2023,4.43,102.465,39.7,False,100.39099999999999
59,PER,Baku,2023,5.29,102.465,39.7,False,100.495
60,SAI,Baku,2023,9.14,102.465,39.7,False,101.01599999999999
61,HAM,Baku,2023,4.14,102.465,39.7,False,101.17699999999999
62,ALO,Baku,2023,11.33,102.465,39.7,False,101.253
63,NOR,Baku,2023,8.5,102.465,39.7,False,101.281
64,TSU,Baku,2023,7.67,102.465,39.7,False,101.569
65,STR,Baku,2023,13.0,102.465,39.7,False,101.576
66,PIA,Baku,2023,10.0,102.465,39.7,False,101.61099999999999
67,RUS,Baku,2023,11.75,102.465,39.7,False,101.654
68,OCO,Baku,2023,11.6,102.465,39.7,False,101.798
69,ALB,Baku,2023,13.33,102.465,39.7,False,101.818
70,BOT,Baku,2023,7.43,102.465,39.7,False,102.259
71,SAR,Baku,2023,14.0,102.465,39.7,False,102.24199999999999
72,ZHO,Baku,2023,14.5,102.465,39.7,False,102.642
73,HUL,Baku,2023,14.8,102.465,39.7,False,102.755
74,MAG,Baku,2023,15.5,102.465,39.7,False,103.417
75,GAS,Baku,2023,12.8,102.465,39.7,False,104.85300000000001
76,PER,Miami,2023,3.0,88.051,44.9,False,86.84100000000001
77,ALO,Miami,2023,9.33,88.051,44.9,False,87.09700000000001
78,SAI,Miami,2023,2.67,88.051,44.9,False,87.148
79,MAG,Miami,2023,12.67,88.051,44.9,False,87.673
80,GAS,Miami,2023,8.0,88.051,44.9,False,87.612
81,RUS,Miami,2023,8.33,88.051,44.9,False,87.743
82,LEC,Miami,2023,3.33,88.051,44.9,False,86.964
83,OCO,Miami,2023,13.67,88.051,44.9,False,87.444
84,VER,Miami,2023,4.33,88.051,44.9,False,86.814
85,BOT,Miami,2023,10.33,88.051,44.9,False,87.564
86,ALB,Miami,2023,14.33,88.051,44.9,False,87.795
87,HUL,Miami,2023,10.5,88.051,44.9,False,87.90299999999999
88,HAM,Miami,2023,9.0,88.051,44.9,False,87.846
89,ZHO,Miami,2023,16.67,88.051,44.9,False,88.09100000000001
90,NOR,Miami,2023,5.0,88.051,44.9,False,88.394
91,TSU,Miami,2023,12.0,88.051,44.9,False,88.429
92,STR,Miami,2023,13.0,88.051,44.9,False,88.476
93,PIA,Miami,2023,12.5,88.051,44.9,False,88.48400000000001
94,SAR,Miami,2023,18.5,88.051,44.9,False,88.577
95,VER,Monaco,2023,7.78,71.266,48.9,False,71.365
96,ALO,Monaco,2023,8.1,71.266,48.9,False,71.449
97,LEC,Monaco,2023,6.33,71.266,48.9,False,71.471
98,OCO,Monaco,2023,9.33,71.266,48.9,False,71.553
99,SAI,Monaco,2023,6.89,71.266,48.9,False,71.63
100,HAM,Monaco,2023,5.47,71.266,48.9,False,71.725
101,GAS,Monaco,2023,9.67,71.266,48.9,False,71.93299999999999
102,RUS,Monaco,2023,10.6,71.266,48.9,False,71.964
103,TSU,Monaco,2023,11.0,71.266,48.9,False,72.082
104,NOR,Monaco,2023,7.2,71.266,48.9,False,72.254
105,PIA,Monaco,2023,6.5,71.266,48.9,False,72.395
106,ALB,Monaco,2023,12.0,71.266,48.9,False,72.527
107,STR,Monaco,2023,15.57,71.266,48.9,False,72.623
108,BOT,Monaco,2023,10.0,71.266,48.9,False,72.625
109,SAR,Monaco,2023,15.5,71.266,48.9,False,73.113
110,MAG,Monaco,2023,13.63,71.266,48.9,False,73.27
111,HUL,Monaco,2023,11.64,71.266,48.9,False,73.279
112,ZHO,Monaco,2023,19.0,71.266,48.9,False,73.523
