,driver,constructor,track,year,avg_grid_pos_track,track_avg_lap_time,temperature,rain,target_time,years_since_reg_change
0,HAM,Mercedes,Australia,2014,4.06,77.014,25.0,False,104.231,0
1,RIC,Red Bull,Australia,2014,10.0,77.014,25.0,False,104.548,0
2,MAG,McLaren,Australia,2014,12.0,77.014,25.0,False,105.745,0
3,ALO,Ferrari,Australia,2014,8.42,77.014,25.0,False,105.819,0
4,HUL,Force India,Australia,2014,10.91,77.014,25.0,False,106.03,0
5,BOT,Williams,Australia,2014,12.33,77.014,25.0,False,108.14699999999999,0
6,PER,Force India,Australia,2014,12.5,77.014,25.0,False,94.14099999999999,0
7,HAM,Mercedes,Bahrain,2014,3.94,90.021,25.0,False,93.464,0
8,RIC,Red Bull,Bahrain,2014,8.69,90.021,25.0,False,94.051,0
9,BOT,Williams,Bahrain,2014,5.92,90.021,25.0,False,94.247,0
10,PER,Force India,Bahrain,2014,9.21,90.021,25.0,False,94.346,0
11,MAG,McLaren,Bahrain,2014,13.4,90.021,25.0,False,94.712,0
12,ALO,Ferrari,Bahrain,2014,8.0,90.021,25.0,False,94.99199999999999,0
13,HUL,Force India,Bahrain,2014,11.25,90.021,25.0,False,95.116,0
14,HAM,Mercedes,China,2014,5.5,94.837,25.0,False,113.86,0
15,RIC,Red Bull,China,2014,7.22,94.837,25.0,False,114.455,0
16,ALO,Ferrari,China,2014,6.31,94.837,25.0,False,115.637,0
17,BOT,Williams,China,2014,6.25,94.837,25.0,False,116.282,0
18,HUL,Force India,China,2014,11.0,94.837,25.0,False,116.366,0
19,MAG,McLaren,China,2014,13.5,94.837,25.0,False,117.675,0
20,PER,Force India,China,2014,10.0,94.837,25.0,False,118.362,0
21,HAM,Mercedes,Spain,2014,4.33,72.256,25.0,False,85.232,0
22,RIC,Red Bull,Spain,2014,9.5,72.256,25.0,False,86.285,0
23,BOT,Williams,Spain,2014,6.42,72.256,25.0,False,86.632,0
24,ALO,Ferrari,Spain,2014,7.29,72.256,25.0,False,87.14,0
25,HUL,Force India,Spain,2014,13.45,72.256,25.0,False,87.685,0
26,PER,Force India,Spain,2014,10.0,72.256,25.0,False,88.002,0
27,HAM,Mercedes,Monaco,2014,5.47,71.266,25.0,False,76.048,0
28,RIC,Red Bull,Monaco,2014,7.73,71.266,25.0,False,76.384,0
29,ALO,Ferrari,Monaco,2014,8.1,71.266,25.0,False,76.686,0
30,MAG,McLaren,Monaco,2014,13.63,71.266,25.0,False,77.555,0
31,PER,Force India,Monaco,2014,11.17,71.266,25.0,False,78.327,0
