,driver,track,year,avg_grid_pos_track,track_avg_lap_time,temperature,rain,target_time,years_since_reg_change
0,HAM,Australia,2018,4.06,77.014,32.0,False,81.164,1
1,VER,Australia,2018,4.13,77.014,32.0,False,81.879,1
2,RIC,Australia,2018,10.0,77.014,32.0,False,82.152,1
3,MAG,Australia,2018,12.0,77.014,32.0,False,83.187,1
4,HUL,Australia,2018,10.91,77.014,32.0,False,83.532,1
5,SAI,Australia,2018,8.13,77.014,32.0,False,83.061,1
6,BOT,Australia,2018,12.33,77.014,32.0,False,82.089,1
7,ALO,Australia,2018,8.42,77.014,32.0,False,83.59700000000001,1
8,PER,Australia,2018,12.5,77.014,32.0,False,84.005,1
9,STR,Australia,2018,13.83,77.014,32.0,False,84.23,1
10,OCO,Australia,2018,12.2,77.014,32.0,False,84.503,1
11,LEC,Australia,2018,7.0,77.014,32.0,False,84.636,1
12,GAS,Australia,2018,14.8,77.014,32.0,False,85.295,1
13,BOT,Bahrain,2018,5.92,90.021,32.5,False,88.124,1
14,HAM,Bahrain,2018,3.94,90.021,32.5,False,88.22,1
15,RIC,Bahrain,2018,8.69,90.021,32.5,False,88.398,1
16,GAS,Bahrain,2018,11.25,90.021,32.5,False,89.32900000000001,1
17,MAG,Bahrain,2018,13.4,90.021,32.5,False,89.358,1
18,HUL,Bahrain,2018,11.25,90.021,32.5,False,89.187,1
19,OCO,Bahrain,2018,11.88,90.021,32.5,False,89.874,1
20,SAI,Bahrain,2018,8.64,90.021,32.5,False,89.80199999999999,1
21,PER,Bahrain,2018,9.21,90.021,32.5,False,90.156,1
22,ALO,Bahrain,2018,8.0,90.021,32.5,False,90.212,1
23,VER,Bahrain,2018,5.64,90.021,32.5,False,89.374,1
24,LEC,Bahrain,2018,5.75,90.021,32.5,False,91.42,1
25,STR,Bahrain,2018,13.56,90.021,32.5,False,91.503,1
26,BOT,China,2018,6.25,94.837,15.8,False,91.625,1
27,HAM,China,2018,5.5,94.837,15.8,False,91.675,1
28,VER,China,2018,8.17,94.837,15.8,False,91.79599999999999,1
29,RIC,China,2018,7.22,94.837,15.8,False,91.94800000000001,1
30,HUL,China,2018,11.0,94.837,15.8,False,92.494,1
31,PER,China,2018,10.0,94.837,15.8,False,92.75800000000001,1
32,SAI,China,2018,10.5,94.837,15.8,False,92.819,1
33,MAG,China,2018,13.5,94.837,15.8,False,92.98599999999999,1
34,OCO,China,2018,14.0,94.837,15.8,False,93.057,1
35,ALO,China,2018,6.31,94.837,15.8,False,93.232,1
36,GAS,China,2018,12.67,94.837,15.8,False,94.101,1
37,STR,China,2018,13.75,94.837,15.8,False,94.285,1
38,LEC,China,2018,9.67,94.837,15.8,False,94.45400000000001,1
39,HAM,Baku,2018,4.14,102.465,26.6,False,101.67699999999999,1
40,BOT,Baku,2018,7.43,102.465,26.6,False,101.837,1
41,RIC,Baku,2018,8.5,102.465,26.6,False,101.911,1
42,VER,Baku,2018,4.43,102.465,26.6,False,101.994,1
43,OCO,Baku,2018,11.6,102.465,26.6,False,102.523,1
44,PER,Baku,2018,5.29,102.465,26.6,False,102.547,1
45,HUL,Baku,2018,14.8,102.465,26.6,False,103.066,1
46,SAI,Baku,2018,9.14,102.465,26.6,False,103.351,1
47,STR,Baku,2018,13.0,102.465,26.6,False,103.58500000000001,1
48,ALO,Baku,2018,11.33,102.465,26.6,False,104.00999999999999,1
49,LEC,Baku,2018,4.8,102.465,26.6,False,103.75200000000001,1
50,MAG,Baku,2018,15.5,102.465,26.6,False,103.674,1
51,GAS,Baku,2018,12.8,102.465,26.6,False,104.49600000000001,1
52,HAM,Spain,2018,4.33,72.256,27.8,True,76.173,1
53,BOT,Spain,2018,6.42,72.256,27.8,True,76.213,1
54,VER,Spain,2018,3.4,72.256,27.8,True,76.816,1
55,RIC,Spain,2018,9.5,72.256,27.8,True,76.818,1
56,MAG,Spain,2018,12.44,72.256,27.8,True,77.618,1
57,ALO,Spain,2018,7.29,72.256,27.8,True,77.721,1
58,SAI,Spain,2018,7.0,72.256,27.8,True,77.78999999999999,1
59,GAS,Spain,2018,10.14,72.256,27.8,True,78.463,1
60,OCO,Spain,2018,9.86,72.256,27.8,True,78.696,1
