,driver,track,year,avg_grid_pos_track,track_avg_lap_time,temperature,rain,target_time,years_since_reg_change
0,NOR,Zandvoort,2024,7.33,76.69,30.8,False,69.673,2
1,VER,Zandvoort,2024,1.0,76.69,30.8,False,70.029,2
2,PIA,Zandvoort,2024,8.0,76.69,30.8,False,70.172,2
3,RUS,Zandvoort,2024,6.67,76.69,30.8,False,70.244,2
4,PER,Zandvoort,2024,10.67,76.69,30.8,False,70.416,2
5,LEC,Zandvoort,2024,5.33,76.69,30.8,False,70.582,2
6,ALO,Zandvoort,2024,9.0,76.69,30.8,False,70.633,2
7,STR,Zandvoort,2024,11.0,76.69,30.8,False,70.661,2
8,GAS,Zandvoort,2024,9.0,76.69,30.8,False,70.815,2
9,SAI,Zandvoort,2024,5.0,76.69,30.8,False,70.914,2
10,HAM,Zandvoort,2024,6.33,76.69,30.8,False,70.94800000000001,2
11,TSU,Zandvoort,2024,13.33,76.69,30.8,False,70.955,2
12,HUL,Zandvoort,2024,14.0,76.69,30.8,False,71.215,2
13,MAG,Zandvoort,2024,19.0,76.69,30.8,False,71.295,2
14,RIC,Zandvoort,2024,13.5,76.69,30.8,False,71.943,2
15,OCO,Zandvoort,2024,12.0,76.69,30.8,False,71.995,2
16,BOT,Zandvoort,2024,12.33,76.69,30.8,False,72.168,2
17,ZHO,Zandvoort,2024,14.5,76.69,30.8,False,73.261,2
18,ALB,Zandvoort,2024,9.5,76.69,30.8,False,70.653,2
