VER,LEC,RUS,SAI,PER,ALO,NOR,PIA,HAM,HUL,TSU,STR,ALB,RIC,MAG,BOT,ZHO,SAR,OCO,GAS,BEA
89.179,89.16499999999999,89.485,89.507,89.537,89.542,89.614,89.68299999999999,89.71000000000001,89.851,90.129,89.965,90.221,90.27799999999999,90.529,90.756,90.757,90.77,90.793,90.94800000000001,
87.47200000000001,87.791,88.316,,87.807,87.846,88.132,88.089,88.46000000000001,89.055,88.547,88.25,88.98,89.025,89.02,89.179,,89.526,89.475,89.479,88.642
75.91499999999999,76.304,76.724,76.185,76.274,76.71000000000001,76.315,76.572,76.96000000000001,77.976,76.788,76.78,77.13,78.08500000000001,77.42699999999999,77.34,78.188,,77.617,77.982,
88.197,88.786,89.008,88.682,88.263,88.686,88.489,88.76,88.76599999999999,89.494,89.413,90.024,89.714,89.47200000000001,90.131,89.593,90.143,90.139,89.811,90.119,
93.66,94.289,94.43299999999999,94.297,93.982,94.148,94.16499999999999,94.273,95.57300000000001,94.604,95.74600000000001,94.838,95.241,94.934,95.51599999999999,94.66499999999999,95.505,96.358,95.223,95.287,
87.241,87.382,88.06700000000001,87.455,87.46000000000001,88.42699999999999,87.594,87.675,87.697,88.146,88.167,88.17699999999999,88.343,88.617,88.619,88.463,88.824,88.487,88.209,87.976,
74.746,74.97,75.234,75.233,75.706,76.917,74.837,74.82,75.504,75.569,75.358,75.992,76.2,75.674,76.854,76.626,76.834,,75.906,76.015,
70.56700000000001,70.27,70.543,70.518,72.06,72.019,70.542,70.424,70.621,71.44,70.858,71.563,70.94800000000001,71.482,71.725,72.512,73.028,72.02,71.285,70.896,
72.0,72.691,71.742,72.728,73.326,72.228,72.021,72.103,71.979,73.978,72.303,72.659,72.485,72.178,72.916,73.366,74.292,72.736,73.435,72.94,
71.403,71.731,71.703,71.736,72.054,72.128,71.383,72.011,71.701,72.31,72.985,72.372,73.153,73.075,72.937,72.227,72.738,73.509,72.109,71.857,
64.314,65.044,64.84,64.851,65.144,65.639,64.718,65.048,64.903,65.262,65.412,65.819,65.736,65.289,65.347,65.847,66.061,65.856,65.274,65.359,
86.203,87.09700000000001,85.819,86.509,98.348,86.73,86.03,86.237,85.99,86.338,87.269,86.58500000000001,86.64,87.949,92.905,92.431,87.867,87.175,94.557,99.804,
75.273,75.891,77.968,75.696,77.886,76.043,75.227,75.249,75.854,76.31700000000001,76.121,76.075,76.429,76.202,76.548,76.384,78.037,76.543,78.049,78.166,
113.15899999999999,113.75399999999999,114.095,114.112,113.765,114.25800000000001,113.981,114.027,113.83500000000001,116.30799999999999,116.593,115.71600000000001,114.473,114.682,116.5,114.76400000000001,117.775,117.22999999999999,114.46000000000001,114.63499999999999,
